datetime_code,message_types,payloads
04/02/2025 11:35:46 FD,ahrs2_t;attitude_t;heartbeat_t;vfr_hud_t,pitch=0.012; pitchspeed=0.001; roll=0.024; rollspeed=-6.255; time_boot_ms=956957.000; yaw=3.051; yawspeed=0.001 | airspeed=0.039; alt=553.370; climb=-0.030; groundspeed=0.026; heading=174.000 | altitude=555.320; lat=-143012731.000; lng=-426905665.000; pitch=0.030; roll=0.010; yaw=3.057 | autopilot=3.000; base_mode=89.000; custom_mode=5.000; mavlink_version=3.000; system_status=3.000; type=2.000 | pitch=0.012; pitchspeed=0.001; roll=0.024; rollspeed=0.001; time_boot_ms=957207.000; yaw=3.051; yawspeed=0.001 | airspeed=0.038; alt=553.380; climb=-0.031; groundspeed=0.022; heading=174.000 | altitude=555.270; lat=-143012731.000; lng=-426905664.000; pitch=0.030; roll=0.010; yaw=3.057
04/02/2025 11:35:47 FD,ahrs2_t;ahrs_t;attitude_t;battery_status_t;ekf_status_report_t;global_position_int_t;gps_raw_int_t;heartbeat_t;local_position_ned_t;meminfo_t;mission_current_t;nav_controller_output_t;power_status_t;raw_imu_t;rc_channels_t;request_data_stream_t;scaled_imu2_t;scaled_pressure_t;servo_output_raw_t;sys_status_t;system_time_t;terrain_report_t;vfr_hud_t;vibration_t;wind_t, |  |  |  |  |  | alt=553380.000; lat=-143012729.000; time_boot_ms=957415.000 | current_battery=0.000; load=441.000; voltage_battery=28039.000 |  |  |  |  |  |  | time_boot_ms=957417.000 |  | time_boot_ms=957417.000 | time_boot_ms=957419.000 | alt=543740.000; lat=-143012731.000; yaw=0.000 | time_boot_ms=957419.000 |  |  | lat=-143012729.000 |  |  | time_boot_ms=957424.000 |  | current_battery=0.000; type=0.000 | pitch=0.012; pitchspeed=0.001; roll=0.025; rollspeed=-0.001; time_boot_ms=957457.000; yaw=3.051; yawspeed=-0.002 | airspeed=0.037; alt=553.380; climb=-0.032; groundspeed=0.019; heading=174.000 | altitude=555.330; lat=-143012731.000; lng=-426905664.000; pitch=0.030; roll=0.009; yaw=3.057 | pitch=0.012; pitchspeed=0.000; roll=0.025; rollspeed=-0.000; time_boot_ms=957707.000; yaw=3.051; yawspeed=4.356 | airspeed=0.034; alt=553.400; climb=-0.030; groundspeed=0.016; heading=174.000 | altitude=555.310; lat=-143012731.000; lng=-426905663.000; pitch=0.030; roll=0.009; yaw=3.057 | alt=553410.000; lat=-143012730.000; time_boot_ms=957915.000 | current_battery=0.000; load=415.000; voltage_battery=28046.000 |  |  |  |  |  | time_boot_ms=957917.000 |  | time_boot_ms=957919.000 | time_boot_ms=957919.000 | alt=543750.000; lat=-143012731.000; yaw=0.000 | time_boot_ms=957922.000 |  |  | lat=-143012730.000 |  | time_boot_ms=957924.000 |  | current_battery=0.000; type=0.000 | pitch=0.012; pitchspeed=-0.001; roll=0.025; rollspeed=0.001; time_boot_ms=957957.000; yaw=3.051; yawspeed=3.156 | airspeed=0.033; alt=553.410; climb=-0.029; groundspeed=0.015; heading=174.000 | altitude=555.250; lat=-143012731.000; lng=-426905661.000; pitch=0.030; roll=0.009; yaw=3.057 | autopilot=3.000; base_mode=89.000; custom_mode=5.000; mavlink_version=3.000; system_status=3.000; type=2.000 |  |  |  |  |  |  | pitch=0.012; pitchspeed=0.001; roll=0.024; rollspeed=-0.001; time_boot_ms=958207.000; yaw=3.051; yawspeed=-0.001 | airspeed=0.035; alt=553.420; climb=-0.030; groundspeed=0.019; heading=174.000 | autopilot=8.000; base_mode=0.000; custom_mode=0.000; mavlink_version=3.000; system_status=0.000; type=6.000 | altitude=555.460; lat=-143012730.000; lng=-426905660.000; pitch=0.030; roll=0.009; yaw=3.057
04/02/2025 11:35:47 FE,heartbeat_t;request_data_stream_t, |  |  |  |  |  | autopilot=8.000; base_mode=0.000; custom_mode=0.000; mavlink_version=3.000; system_status=0.000; type=6.000 |  |  |  |  |  |  |  |  | autopilot=8.000; base_mode=0.000; custom_mode=0.000; mavlink_version=3.000; system_status=0.000; type=6.000
04/02/2025 11:35:48 FD,ahrs2_t;ahrs_t;attitude_t;battery_status_t;ekf_status_report_t;global_position_int_t;gps_raw_int_t;heartbeat_t;local_position_ned_t;meminfo_t;mission_current_t;nav_controller_output_t;power_status_t;raw_imu_t;rc_channels_t;scaled_imu2_t;scaled_pressure_t;servo_output_raw_t;statustext_t;sys_status_t;system_time_t;terrain_report_t;vfr_hud_t;vibration_t;wind_t,autopilot=8.000; base_mode=0.000; custom_mode=0.000; mavlink_version=3.000; system_status=0.000; type=6.000 | alt=553430.000; lat=-143012729.000; time_boot_ms=958415.000 | current_battery=0.000; load=448.000; voltage_battery=28038.000 |  |  |  |  |  | time_boot_ms=958417.000 |  | time_boot_ms=958417.000 | time_boot_ms=958419.000 | alt=543740.000; lat=-143012730.000; yaw=0.000 | time_boot_ms=958419.000 |  |  | lat=-143012729.000 |  | time_boot_ms=958424.000 |  | current_battery=0.000; type=0.000 | pitch=0.012; pitchspeed=-0.000; roll=0.025; rollspeed=-0.000; time_boot_ms=958457.000; yaw=3.051; yawspeed=-0.001 | airspeed=0.038; alt=553.430; climb=-0.031; groundspeed=0.020; heading=174.000 | altitude=555.160; lat=-143012730.000; lng=-426905658.000; pitch=0.030; roll=0.009; yaw=3.058 | pitch=0.012; pitchspeed=-0.001; roll=0.024; rollspeed=0.001; time_boot_ms=958707.000; yaw=3.051; yawspeed=-0.001 | airspeed=0.043; alt=553.420; climb=-0.036; groundspeed=0.023; heading=174.000 | altitude=555.240; lat=-143012729.000; lng=-426905657.000; pitch=0.030; roll=0.009; yaw=3.058 | alt=553420.000; lat=-143012729.000; time_boot_ms=958915.000 | current_battery=0.000; load=428.000; voltage_battery=28041.000 |  |  |  |  |  | time_boot_ms=958917.000 |  | time_boot_ms=958919.000 | time_boot_ms=958919.000 | alt=543710.000; lat=-143012729.000; yaw=0.000 | time_boot_ms=958919.000 |  |  | lat=-143012729.000 |  | time_boot_ms=958924.000 |  | current_battery=0.000; type=0.000 | pitch=0.012; pitchspeed=0.000; roll=0.024; rollspeed=-0.001; time_boot_ms=958957.000; yaw=3.051; yawspeed=0.000 | airspeed=0.047; alt=553.420; climb=-0.040; groundspeed=0.025; heading=174.000 | altitude=555.190; lat=-143012729.000; lng=-426905655.000; pitch=0.030; roll=0.009; yaw=3.057 | autopilot=3.000; base_mode=89.000; custom_mode=5.000; mavlink_version=3.000; system_status=3.000; type=2.000 |  |  |  | pitch=0.012; pitchspeed=-0.000; roll=0.024; rollspeed=-0.001; time_boot_ms=959207.000; yaw=3.051; yawspeed=-0.001 | airspeed=0.048; alt=553.410; climb=-0.041; groundspeed=0.026; heading=174.000 | altitude=555.170; lat=-143012729.000; lng=-426905653.000; pitch=0.030; roll=0.009; yaw=3.057
04/02/2025 11:35:48 FE,heartbeat_t,autopilot=8.000; base_mode=0.000; custom_mode=0.000; mavlink_version=3.000; system_status=0.000; type=6.000
04/02/2025 11:35:49 FD,ahrs2_t;ahrs_t;attitude_t;autopilot_version_request_t;battery_status_t;command_long_t;ekf_status_report_t;global_position_int_t;gps_raw_int_t;heartbeat_t;local_position_ned_t;meminfo_t;mission_current_t;nav_controller_output_t;power_status_t;raw_imu_t;rc_channels_t;scaled_imu2_t;scaled_pressure_t;servo_output_raw_t;sys_status_t;system_time_t;terrain_report_t;timesync_t;vfr_hud_t;vibration_t;wind_t,autopilot=8.000; base_mode=0.000; custom_mode=0.000; mavlink_version=3.000; system_status=0.000; type=6.000 | alt=553410.000; lat=-143012729.000; time_boot_ms=959415.000 | current_battery=0.000; load=444.000; voltage_battery=28041.000 |  |  |  |  |  | time_boot_ms=959417.000 |  | time_boot_ms=959417.000 | time_boot_ms=959419.000 | alt=543720.000; lat=-143012729.000; yaw=0.000 | time_boot_ms=959419.000 |  |  | lat=-143012729.000 |  | time_boot_ms=959424.000 |  | current_battery=0.000; type=0.000 | pitch=0.012; pitchspeed=-0.000; roll=0.024; rollspeed=0.001; time_boot_ms=959457.000; yaw=3.051; yawspeed=-0.001 | airspeed=0.048; alt=553.410; climb=-0.041; groundspeed=0.025; heading=174.000 | altitude=555.410; lat=-143012729.000; lng=-426905652.000; pitch=0.029; roll=0.009; yaw=3.057 | pitch=0.012; pitchspeed=-0.000; roll=0.024; rollspeed=0.001; time_boot_ms=959707.000; yaw=3.050; yawspeed=-0.000 | airspeed=0.049; alt=553.420; climb=-0.042; groundspeed=0.026; heading=174.000 | altitude=555.480; lat=-143012729.000; lng=-426905650.000; pitch=0.029; roll=0.009; yaw=3.056 | alt=553420.000; lat=-143012729.000; time_boot_ms=959915.000 | current_battery=0.000; load=416.000; voltage_battery=28035.000 |  |  |  |  |  | time_boot_ms=959917.000 |  | time_boot_ms=959919.000 | time_boot_ms=959919.000 | alt=543730.000; lat=-143012730.000; yaw=0.000 | time_boot_ms=959919.000 |  |  | lat=-143012729.000 |  | time_boot_ms=959924.000 |  | current_battery=0.000; type=0.000 | pitch=0.012; pitchspeed=0.001; roll=0.024; rollspeed=-0.001; time_boot_ms=959957.000; yaw=3.050; yawspeed=-0.001 | airspeed=0.050; alt=553.430; climb=-0.042; groundspeed=0.028; heading=174.000 | altitude=555.360; lat=-143012730.000; lng=-426905648.000; pitch=0.029; roll=0.009; yaw=3.056 | autopilot=3.000; base_mode=89.000; custom_mode=5.000; mavlink_version=3.000; system_status=3.000; type=2.000 |  |  |  | pitch=0.012; pitchspeed=-0.000; roll=0.024; rollspeed=-0.000; time_boot_ms=960207.000; yaw=3.050; yawspeed=-0.001 | airspeed=0.051; alt=553.430; climb=-0.043; groundspeed=0.028; heading=174.000 | altitude=555.390; lat=-143012730.000; lng=-426905647.000; pitch=0.029; roll=0.009; yaw=3.056 |  | 
04/02/2025 11:35:50 FD,ahrs2_t;ahrs_t;attitude_t;autopilot_version_t;battery_status_t;command_ack_t;command_long_t;ekf_status_report_t;file_transfer_protocol_t;global_position_int_t;gps_raw_int_t;heartbeat_t;local_position_ned_t;meminfo_t;mission_current_t;nav_controller_output_t;power_status_t;raw_imu_t;rc_channels_t;scaled_imu2_t;scaled_pressure_t;servo_output_raw_t;statustext_t;sys_status_t;system_time_t;terrain_report_t;vfr_hud_t;vibration_t;wind_t,autopilot=8.000; base_mode=0.000; custom_mode=0.000; mavlink_version=3.000; system_status=0.000; type=6.000 | alt=553440.000; lat=-143012729.000; time_boot_ms=960417.000 | current_battery=0.000; load=455.000; voltage_battery=28041.000 |  |  |  |  |  | time_boot_ms=960419.000 |  | time_boot_ms=960422.000 | time_boot_ms=960422.000 | alt=543720.000; lat=-143012730.000; yaw=0.000 | time_boot_ms=960422.000 |  |  | lat=-143012729.000 |  | time_boot_ms=960424.000 |  |  |  |  | current_battery=0.000; type=0.000 | pitch=0.012; pitchspeed=-0.000; roll=0.024; rollspeed=0.002; time_boot_ms=960457.000; yaw=3.050; yawspeed=0.001 | airspeed=0.053; alt=553.440; climb=-0.042; groundspeed=0.031; heading=174.000 | altitude=555.380; lat=-143012730.000; lng=-426905645.000; pitch=0.029; roll=0.009; yaw=3.056 | pitch=0.012; pitchspeed=0.000; roll=0.024; rollspeed=-0.000; time_boot_ms=960708.000; yaw=3.050; yawspeed=-0.001 | airspeed=0.051; alt=553.440; climb=-0.039; groundspeed=0.033; heading=174.000 |  | altitude=555.340; lat=-143012730.000; lng=-426905644.000; pitch=0.029; roll=0.009; yaw=3.056 | alt=553450.000; lat=-143012730.000; time_boot_ms=960917.000 | current_battery=0.000; load=438.000; voltage_battery=28039.000 |  |  |  |  |  | time_boot_ms=960920.000 |  | time_boot_ms=960922.000 | time_boot_ms=960922.000 | alt=543750.000; lat=-143012730.000; yaw=0.000 | time_boot_ms=960922.000 |  |  | lat=-143012730.000 |  | time_boot_ms=960925.000 |  |  | current_battery=0.000; type=0.000 |  | pitch=0.012; pitchspeed=0.001; roll=0.024; rollspeed=-0.001; time_boot_ms=960957.000; yaw=3.050; yawspeed=-0.001 | airspeed=0.050; alt=553.450; climb=-0.036; groundspeed=0.034; heading=174.000 | altitude=555.360; lat=-143012730.000; lng=-426905642.000; pitch=0.029; roll=0.009; yaw=3.057 |  |  |  |  |  | 
04/02/2025 11:35:51 FD,ahrs2_t;attitude_t;command_ack_t;file_transfer_protocol_t;heartbeat_t;statustext_t;vfr_hud_t, |  | autopilot=3.000; base_mode=89.000; custom_mode=5.000; mavlink_version=3.000; system_status=3.000; type=2.000 | autopilot=8.000; base_mode=0.000; custom_mode=0.000; mavlink_version=3.000; system_status=0.000; type=6.000 | pitch=0.012; pitchspeed=0.000; roll=0.024; rollspeed=-0.000; time_boot_ms=961208.000; yaw=3.050; yawspeed=0.000 | airspeed=0.049; alt=553.460; climb=-0.032; groundspeed=0.036; heading=174.000 | altitude=555.250; lat=-143012730.000; lng=-426905641.000; pitch=0.029; roll=0.009; yaw=3.056 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | autopilot=3.000; base_mode=89.000; custom_mode=5.000; mavlink_version=3.000; system_status=3.000; type=2.000 |  |  |  |  | 
04/02/2025 11:35:52 FD,ahrs2_t;ahrs_t;attitude_t;battery_status_t;ekf_status_report_t;file_transfer_protocol_t;global_position_int_t;gps_raw_int_t;heartbeat_t;local_position_ned_t;meminfo_t;mission_current_t;nav_controller_output_t;power_status_t;raw_imu_t;rc_channels_t;scaled_imu2_t;scaled_pressure_t;servo_output_raw_t;sys_status_t;system_time_t;terrain_report_t;vfr_hud_t;vibration_t;wind_t,autopilot=8.000; base_mode=0.000; custom_mode=0.000; mavlink_version=3.000; system_status=0.000; type=6.000 |  |  |  |  |  |  |  |  | alt=553460.000; lat=-143012730.000; time_boot_ms=962917.000 | current_battery=0.000; load=437.000; voltage_battery=28041.000 |  |  |  |  |  | time_boot_ms=962920.000 |  | time_boot_ms=962920.000 | time_boot_ms=962922.000 | alt=543770.000; lat=-143012730.000; yaw=0.000 | time_boot_ms=962922.000 |  |  | lat=-143012730.000 |  | time_boot_ms=962924.000 |  | current_battery=0.000; type=0.000 | pitch=0.012; pitchspeed=0.000; roll=0.024; rollspeed=-0.001; time_boot_ms=962939.000; yaw=3.050; yawspeed=0.000 | airspeed=0.049; alt=553.460; climb=-0.022; groundspeed=0.044; heading=174.000 | altitude=555.330; lat=-143012730.000; lng=-426905628.000; pitch=0.029; roll=0.009; yaw=3.055
04/02/2025 11:35:53 FD,ahrs2_t;attitude_t;file_transfer_protocol_t;heartbeat_t;vfr_hud_t, | autopilot=3.000; base_mode=89.000; custom_mode=5.000; mavlink_version=3.000; system_status=3.000; type=2.000 |  |  |  | pitch=0.012; pitchspeed=0.001; roll=0.024; rollspeed=-0.001; time_boot_ms=963208.000; yaw=3.050; yawspeed=0.000 | airspeed=0.050; alt=553.460; climb=-0.023; groundspeed=0.044; heading=174.000 | altitude=555.110; lat=-143012731.000; lng=-426905627.000; pitch=0.029; roll=0.009; yaw=3.056 |  |  |  |  | autopilot=8.000; base_mode=0.000; custom_mode=0.000; mavlink_version=3.000; system_status=0.000; type=6.000 |  |  |  |  |  |  |  | autopilot=3.000; base_mode=89.000; custom_mode=5.000; mavlink_version=3.000; system_status=3.000; type=2.000 | 
